distcode,year,pop,density,name,xcoord,ycoord,bl_ags,bl_name
1001,2017,76774,1560.35607262471,Flensburg,528.433261098229,6071.27882765283,1,Schleswig-Holstein
1002,2017,220031,2089.70080067425,Kiel,573.476818944981,6022.16754668649,1,Schleswig-Holstein
1003,2017,195394,1009.93510434661,Lübeck,613.547449708947,5971.70266725396,1,Schleswig-Holstein
1004,2017,70602,1107.10298632431,Neumünster,563.872992487118,5993.2808341792,1,Schleswig-Holstein
1051,2017,126030,93.4391564029492,Dithmarschen,508.04749994597,5998.34329167577,1,Schleswig-Holstein
1053,2017,181368,155.236051841941,Herzogtum Lauenburg,610.569885064306,5939.60174347572,1,Schleswig-Holstein
1054,2017,154132,79.4138821428914,Nordfriesland,499.629301893835,6057.05937894047,1,Schleswig-Holstein
1055,2017,189618,143.992189631161,Ostholstein,613.057506787379,6000.58310193536,1,Schleswig-Holstein
1056,2017,281111,470.699284907791,Pinneberg,550.480478322944,5953.65095377617,1,Schleswig-Holstein
1057,2017,122743,118.906198087785,Plön,591.848993396987,6011.53228621702,1,Schleswig-Holstein
1058,2017,259335,124.679535480571,Rendsburg-Eckernförde,546.983503124561,6020.42234094248,1,Schleswig-Holstein
1059,2017,189239,96.3187014792785,Schleswig-Flensburg,533.129025879307,6047.6045163395,1,Schleswig-Holstein
1060,2017,251849,203.81637373835,Segeberg,571.655897935814,5970.55268720516,1,Schleswig-Holstein
1061,2017,122865,124.668940039784,Steinburg,531.823648030216,5973.28120861484,1,Schleswig-Holstein
1062,2017,225514,316.456323984286,Stormarn,586.699136360281,5951.9224687331,1,Schleswig-Holstein
2000,2017,1534367,2424.32557708353,Hamburg,562.371433697584,5935.97286041635,2,Hamburg
3101,2017,224009,1287.09392838609,Braunschweig,603.737568661236,5792.51786270133,3,Niedersachsen
3102,2017,86833,465.713394806005,Salzgitter,591.679252759482,5775.05947904598,3,Niedersachsen
3103,2017,106193,605.610673965104,Wolfsburg,620.967307794913,5807.59971229566,3,Niedersachsen
3151,2017,164197,111.687441789255,Gifhorn,612.559884562444,5826.32727838348,3,Niedersachsen
3153,2017,125315,142.298700761337,Goslar,592.714383905986,5745.20067582513,3,Niedersachsen
3154,2017,85646,135.650373437847,Helmstedt,629.13796062331,5791.55785709288,3,Niedersachsen
3155,2017,125228,104.862189364503,Northeim,559.239135874544,5735.22416527944,3,Niedersachsen
3157,2017,123755,248.589002795899,Peine,585.336083362855,5796.50125532955,3,Niedersachsen
3158,2017,113352,166.280546734778,Wolfenbüttel,613.495284362991,5777.53514105531,3,Niedersachsen
3159,2017,301409,186.856540685255,Göttingen,571.394238309906,5713.06142933632,3,Niedersachsen
3241,2017,1001227,501.789189118596,Region Hannover,553.458088272977,5806.0262267777,3,Niedersachsen
3251,2017,199239,108.494224008036,Diepholz,483.950250664418,5844.41594887167,3,Niedersachsen
