district,municipality,centroid_x,centroid_y
1001,1001,528195.016571203,6070950.24387232
1002,1002,573655.359420621,6020244.89770351
1003,1003,613572.851124225,5970716.14502159
1004,1004,564418.033682665,5992993.68390218
1051,1051001,518306.667902139,5998585.15668998
1051,1051002,516523.943606841,6001527.8207794
1051,1051003,512851.280326313,5977209.20359298
1051,1051004,510488.633864567,5994391.6722905
1051,1051005,511804.680977149,6008963.26377884
1051,1051006,502903.83714491,5985690.2546316
1051,1051008,513752.750724516,6018856.1285974
1051,1051010,515569.193564092,5984594.33604969
1051,1051011,508570.686599742,5973645.84720928
1051,1051012,515002.782703325,5981256.5078432
1051,1051013,490819.216326238,5998980.3534593
1051,1051014,493221.505621279,5999197.78505552
1051,1051015,521136.246860715,6001412.26222624
1051,1051016,517684.290971489,5983009.78089624
1051,1051017,502353.70129189,5988128.1996376
1051,1051019,525338.454470698,6010644.38611836
1051,1051020,516371.917425337,6018414.5843185
1051,1051021,501823.784117703,5976895.28186143
1051,1051022,508391.887325897,5979270.12316814
1051,1051023,520809.065422766,6012102.26172572
1051,1051024,509309.466912445,5977891.23804856
1051,1051026,517156.258476237,5989854.90404132
1051,1051027,501622.704423033,5991045.64647928
1051,1051028,505212.769775034,5996987.16491244
1051,1051030,507628.44219803,6014795.26877988
1051,1051032,511669.041898181,5986500.88056775
1051,1051033,496442.246483603,6000488.09850904
1051,1051034,493252.230780021,5984246.9789411
1051,1051035,514202.106163487,6005333.69595827
1051,1051036,514775.492779492,6013666.89686393
1051,1051037,515600.583671569,5986663.05463769
1051,1051038,499937.822470721,6018616.90142761
1051,1051039,507230.67183357,5986294.44962076
1051,1051043,489856.167144042,6003714.16061851
1051,1051044,508628.657144256,6005020.7778255
1051,1051045,490722.944532122,6006018.84581567
1051,1051046,501090.979185334,5980703.03508219
1051,1051047,500274.45335262,6014048.01745379
1051,1051048,506182.66219256,6000205.43574163
1051,1051049,511487.914178611,6016567.74064972
1051,1051050,491642.996088059,6008326.94024047
1051,1051051,518818.399667476,5986061.31751487
1051,1051052,518862.681436625,6010455.93221923
1051,1051053,514416.495799632,6016668.84534619
1051,1051054,519625.40945751,6003525.81115235
1051,1051057,495603.640436684,5976315.35906741
1051,1051058,496923.46851706,6016103.56018885
1051,1051060,508584.299657748,6018913.79259907
1051,1051061,502533.514448573,6018735.87111723
1051,1051062,498080.317179338,5981142.2453271
1051,1051063,512595.703296663,5991964.55154306
1051,1051064,512925.542151748,5980070.42263124
1051,1051065,501228.096179895,6022913.86915429
1051,1051067,504026.58767275,6001120.25585034
1051,1051068,512823.597165525,6011731.03047053
1051,1051069,504397.909097488,6003863.34420107
1051,1051071,502670.313183467,6020142.67182271
1051,1051072,501030.028623543,5978508.78455995
1051,1051073,499255.495359093,5977884.44228844
1051,1051074,504251.78484704,5994386.50349593
1051,1051075,500271.98157253,6009624.89956999
1051,1051076,501879.495871257,5974929.72567414
1051,1051077,498914.971835753,5972877.21163498
1051,1051078,508395.789843005,5993040.40557832
1051,1051079,493357.039123787,6008184.40091118
1051,1051080,508849.153494425,6011261.27422663
1051,1051081,500607.046234672,6004664.01748924
1051,1051082,511777.170056164,6001859.13895339
1051,1051083,512709.918029742,5999423.83796142
1051,1051084,493447.105355118,6001218.75077441
1051,1051085,525331.502410634,6002671.63836387
1051,1051086,524620.3595238,6004708.93297695
1051,1051087,508565.859248716,6007749.54457135
1051,1051088,518889.26634021,6013340.25210771
1051,1051089,512112.806665191,5983584.86458768
1051,1051090,505533.293304242,5976943.51766427
1051,1051092,503130.447926659,6016138.2595396
1051,1051093,494093.350254034,6003255.24972561
1051,1051096,505394.642151052,6022197.23588999
1051,1051097,508227.323123541,5982664.07186022
1051,1051098,511653.621762224,5996871.94883352
1051,1051099,519084.649648607,5992745.75445713
1051,1051100,516106.483187688,6010688.61070062
1051,1051102,506219.294895021,6018308.65117018
1051,1051103,502712.737639952,5975594.15808132
1051,1051104,517387.74937922,6003723.39038189
1051,1051105,495405.341841067,6010766.22234228
1051,1051107,503950.847365853,6012242.26113436
1051,1051108,497863.836394395,6012587.79291831
1051,1051109,493894.642939155,6005630.43893821
1051,1051110,513620.491231966,5989589.39245793
1051,1051113,500621.404658234,6001398.11331801
1051,1051114,518054.435303974,6008073.58196985
1051,1051117,524264.647759478,6013837.61469001
1051,1051118,501154.882142118,5983604.03428009
1051,1051119,504658.606629426,5980426.22200063
1051,1051120,517366.033496914,6014834.97996699
1051,1051121,495354.061460794,5998817.85985274
1051,1051122,505895.052162941,6009820.64720404
1051,1051125,516067.613937065,6005905.06378677
1051,1051126,521296.527756879,5999370.34141162
1051,1051127,495407.998321306,6007269.63388367
1051,1051128,496364.433548302,6003730.9201979
1051,1051129,491957.752555756,6011380.35113444
1051,1051130,504393.140348292,6007400.17663661
1051,1051131,516006.082152802,6007826.70157368
1051,1051132,490362.772220294,6000999.4463525
1051,1051133,507834.148522266,6013251.70809584
1051,1051134,508326.323095435,5988323.170463
1051,1051135,507121.038672247,5991652.00204441
1051,1051136,526120.598351916,6007527.90572532
1051,1051137,499916.838785072,5996721.31031602
1051,1051138,515637.326023345,5996025.59289693
1051,1051139,522143.57676451,6007078.79586707
1051,1051140,497996.452550533,6007087.24656732
1051,1051141,509795.777974082,6010240.84239547
1053,1053001,612175.419414454,5949354.1758826
1053,1053002,609683.681471608,5942619.38763781
1053,1053003,587649.619919949,5931570.24465305
1053,1053004,618077.488712632,5954456.01489391
1053,1053005,606642.601608433,5942489.01529022
1053,1053006,605192.169027827,5920039.86795701
1053,1053007,598257.833705166,5937368.88158479
1053,1053008,609679.342111119,5951490.99251243
1053,1053009,609046.963786264,5955418.32494743
1053,1053010,614698.642901097,5933432.63905807
1053,1053011,604406.166070979,5959274.92216313
1053,1053012,585076.492750761,5926019.25515957
1053,1053013,602723.321800165,5941150.35683135
1053,1053014,607464.053494562,5940345.82086922
1053,1053015,610912.564795685,5926265.64359225
1053,1053016,614794.34024043,5941809.25928138
1053,1053017,594658.373880126,5928103.94192956
1053,1053018,614421.299739045,5955044.03157115
1053,1053019,604362.793340862,5916997.29933334
1053,1053020,607490.712959532,5927372.11954302
1053,1053021,595675.797855957,5938330.68538915
1053,1053022,606867.908232764,5921673.75180416
