district,municipality,age_group,pop
1001,1001,above65,17907
1002,1002,above65,45869
1003,1003,above65,50229
1004,1004,above65,17914
2000,2000,above65,336278
3101,3101,above65,52159
3102,3102,above65,23816
3103,3103,above65,27670
3401,3401,above65,17039
3402,3402,above65,10638
3403,3403,above65,31562
3404,3404,above65,30705
3405,3405,above65,19987
4011,4011,above65,119111
4012,4012,above65,24617
5111,5111,above65,119876
5112,5112,above65,101764
5113,5113,above65,125546
5114,5114,above65,49760
5116,5116,above65,54378
5117,5117,above65,40573
5119,5119,above65,45815
5120,5120,above65,24627
5122,5122,above65,33936
5124,5124,above65,73794
5314,5314,above65,58458
5315,5315,above65,188097
5316,5316,above65,35480
5512,5512,above65,25879
5513,5513,above65,53649
5515,5515,above65,53054
5711,5711,above65,66311
5911,5911,above65,80307
5913,5913,above65,119842
5914,5914,above65,42145
5915,5915,above65,37038
5916,5916,above65,34146
6411,6411,above65,27346
6412,6412,above65,116961
6413,6413,above65,21152
6414,6414,above65,55591
6611,6611,above65,39164
7111,7111,above65,24636
7211,7211,above65,19527
7311,7311,above65,11068
7312,7312,above65,20116
7313,7313,above65,8795
7314,7314,above65,32250
7315,7315,above65,37687
7316,7316,above65,12805
7317,7317,above65,10256
7318,7318,above65,11240
7319,7319,above65,16865
7320,7320,above65,7865
8111,8111,above65,113071
8121,8121,above65,24460
8211,8211,above65,14314
8212,8212,above65,57237
8221,8221,above65,25985
8222,8222,above65,56949
8231,8231,above65,25193
8311,8311,above65,37500
8421,8421,above65,23047
9161,9161,above65,24966
9162,9162,above65,258738
9163,9163,above65,12666
9261,9261,above65,14659
9262,9262,above65,11117
9263,9263,above65,10103
9361,9361,above65,9831
9362,9362,above65,26014
9363,9363,above65,9827
9461,9461,above65,14834
9462,9462,above65,15917
9463,9463,above65,9678
9464,9464,above65,11000
9561,9561,above65,8893
9562,9562,above65,19824
9563,9563,above65,23116
9564,9564,above65,103916
9565,9565,above65,8886
9661,9661,above65,14503
9662,9662,above65,12723
9663,9663,above65,25352
9761,9761,above65,57223
9762,9762,above65,9974
9763,9763,above65,15169
9764,9764,above65,9390
11000,11000,above65,694152
12051,12051,above65,19654
12052,12052,above65,25006
12053,12053,above65,14687
12054,12054,above65,34351
13003,13003,above65,49059
13004,13004,above65,24035
14511,14511,above65,68083
14612,14612,above65,120134
14713,14713,above65,119364
15001,15001,above65,25257
15002,15002,above65,57258
15003,15003,above65,57569
16051,16051,above65,46730
16052,16052,above65,26959
16053,16053,above65,23409
16054,16054,above65,11689
16055,16055,above65,14670
1051,1051001,above65,880
1051,1051002,above65,37
1051,1051003,above65,110
1051,1051004,above65,227
1051,1051005,above65,40
1051,1051006,above65,157
1051,1051008,above65,10
1051,1051010,above65,32
1051,1051011,above65,3190
1051,1051012,above65,208
1051,1051013,above65,2019
1051,1051014,above65,135
1051,1051015,above65,186
1051,1051016,above65,1211
1051,1051017,above65,64
1051,1051019,above65,168
1051,1051020,above65,194
1051,1051021,above65,117
1051,1051022,above65,136
1051,1051023,above65,136
1051,1051024,above65,258
1051,1051026,above65,162
1051,1051027,above65,177
1051,1051028,above65,145
1051,1051030,above65,43
1051,1051032,above65,83
1051,1051033,above65,14
1051,1051034,above65,738
1051,1051035,above65,35
1051,1051036,above65,34
1051,1051037,above65,110
1051,1051038,above65,24
1051,1051039,above65,77
1051,1051043,above65,42
1051,1051044,above65,5160
1051,1051045,above65,33
1051,1051046,above65,176
1051,1051047,above65,115
1051,1051048,above65,617
1051,1051049,above65,539
1051,1051050,above65,20
1051,1051051,above65,265
1051,1051052,above65,14
1051,1051053,above65,71
1051,1051054,above65,18
1051,1051057,above65,54
1051,1051058,above65,26
1051,1051060,above65,95
1051,1051061,above65,132
1051,1051062,above65,174
1051,1051063,above65,118
1051,1051064,above65,126
1051,1051065,above65,304
1051,1051067,above65,126
1051,1051068,above65,157
1051,1051069,above65,562
1051,1051071,above65,417
1051,1051072,above65,1579
1051,1051073,above65,74
1051,1051074,above65,1798
1051,1051075,above65,189
1051,1051076,above65,135
1051,1051077,above65,36
1051,1051078,above65,228
1051,1051079,above65,90
