model,term,estimate,converged
18-25,a,16.04,FALSE
18-25,b,1.14,FALSE
18-25,c,3.43,FALSE
18-25,d0,0.18,FALSE
18-25,f,0.35,FALSE
25-30,a,11.36,TRUE
25-30,b,3.56,TRUE
25-30,c,1.92,TRUE
25-30,d0,0.03,TRUE
25-30,f,0.11,TRUE
30-50,a,1.61,TRUE
30-50,b,1.48,TRUE
30-50,c,2.33,TRUE
30-50,d0,0.04,TRUE
30-50,f,0.13,TRUE
50-65,a,1.32,FALSE
50-65,b,0.24,FALSE
50-65,c,3.61,FALSE
50-65,d0,0.1,FALSE
50-65,f,0.1,FALSE
above65,a,1.38,FALSE
above65,b,0.2,FALSE
above65,c,2.98,FALSE
above65,d0,0.04,FALSE
above65,f,0.12,FALSE
below18,a,2.28,FALSE
below18,b,0.33,FALSE
below18,c,5.42,FALSE
below18,d0,0.24,FALSE
below18,f,0.17,FALSE
